afgaan|"<div class=""article""><div class=""k"">afgaan</div>afgaan<br/> * plotseling beginnen te werken<br/>vb:de wekker ging af<br/> * dom lijken<br/>vb:hij ging wel af toen hij dat foute antwoord gaf<br/> * recht naar iemand toe lopen<br/>vb:hij ging op de leraar af<br/> * je door iemand laten leiden omdat je hem vertrouwt<br/>vb:op welke adviseur moet ik nu afgaan?<br/><br/> * het gaat hem goed/slecht af<br/> [het lukt hem goed/slecht]</div>"
afgelasten|"<div class=""article""><div class=""k"">afgelasten</div>afgelasten<br/> * het niet door laten gaan<br/>vb:de wedstrijd werd afgelast vanwege het slechte weer</div>"
afgezaagd|"<div class=""article""><div class=""k"">afgezaagd</div>afgezaagd<br/> * het verveelt omdat het altijd zo gedaan of gezegd wordt<br/>vb:hij had weer een afgezaagd verhaal<br/>tegenstellingen: oorspronkelijk origineel</div>"
afgezien|"<div class=""article""><div class=""k"">afgezien</div>afgezien<br/> * zonder te letten op ...., zonder mee te tellen<br/>vb:afgezien van de inktvlekken is dit een goede brief</div>"
afhangen|"<div class=""article""><div class=""k"">afhangen</div>afhangen<br/> * erdoor bepaald worden<br/>vb:of we op vakantie gaan hangt af van het weer<br/><br/> * het zal ervan afhangen<br/> [het is niet zeker]</div>"
afhankelijk|"<div class=""article""><div class=""k"">afhankelijk</div>afhankelijk<br/> * erdoor beslist of bepaald worden<br/>vb:of we buiten sporten is afhankelijk van het weer<br/>tegenstelling: zelfstandig<br/> * steun van iemand nodig hebben<br/>vb:een kind is afhankelijk van zijn ouders<br/>tegenstelling: onafhankelijk</div>"
afkeer|"<div class=""article""><div class=""k"">afkeer</div>afkeer<br/> * gevoel dat je iets erg afstotend, vies, vervelend vindt<br/>vb:ik heb een afkeer van hutspot<br/>synoniem: weerzin<br/>tegenstelling: verlangen</div>"
afketsen|"<div class=""article""><div class=""k"">afketsen</div>afketsen<br/> * ergens tegenaan botsen en van richting veranderen<br/>vb:de kogel ketste af op de helm<br/> * niet doorgaan<br/>vb:het plan is afgeketst omdat het te veel kostte</div>"
afkijken|"<div class=""article""><div class=""k"">afkijken</div>afkijken<br/> * kijken hoe hij het doet, zodat je het kunt nadoen<br/>vb:die truc heb ik van mijn broer afgekeken</div>"
afkomen|"<div class=""article""><div class=""k"">afkomen</div>afkomen<br/> * afgemaakt worden<br/>vb:het werk is op tijd af<br/> * ervan verlost of bevrijd worden<br/>vb:weet u hoe ik van die buikpijn afkom?</div>"
afkomstig|"<div class=""article""><div class=""k"">afkomstig</div>afkomstig<br/> * waar je vandaan komt<br/>vb:ik ben afkomstig uit Duitsland</div>"
afleiden|"<div class=""article""><div class=""k"">afleiden</div>afleiden<br/> * ervoor zorgen dat de aandacht ergens anders op gericht wordt<br/>vb:Jan is erg druk met de zaak bezig, we moeten hem wat afleiden<br/> * woorden vormen uit andere woorden<br/>vb:het woord 'Nederlander' is afgeleid van 'Nederland'<br/> * het begrijpen uit iets anders<br/>vb:uit zijn woorden leid ik af dat hij haast heeft<br/>synoniemen: concluderen opmaken</div>"
afleveren|"<div class=""article""><div class=""k"">afleveren</div>afleveren<br/> * het op een bepaalde plek brengen<br/>vb:de postbode heeft het pakje afgeleverd<br/>synoniemen: afgeven bezorgen leveren<br/>tegenstellingen: krijgen ontvangen verkrijgen</div>"
aflopen|"<div class=""article""><div class=""k"">aflopen</div>aflopen<br/> * er komt een eind aan, het gaat voorbij<br/>vb:de film is bijna afgelopen<br/><br/> * de afgelopen week<br/> [de week die voorbij is]<br/> * het loopt snel af met hem<br/> [hij zal niet lang meer leven]<br/> * het is een aflopende zaak<br/> [het is nu snel voorbij]<br/><br/>synoniemen: eindigen verstrijken<br/>tegenstellingen: beginnen starten<br/> * schuin naar beneden lopen<br/>vb:deze straat loopt een beetje af<br/>synoniem: hellen<br/> * ratelen<br/>vb:de wekker loopt af</div>"
afmaken|"<div class=""article""><div class=""k"">afmaken</div>afmaken<br/> * ervoor zorgen dat het klaar is<br/>vb:Tina heeft de oefening afgemaakt<br/>synoniem: voltooien<br/> * een mens of een dier dood maken<br/>vb:de zieke koe werd afgemaakt<br/> * iemand of iets een heel slechte beoordeling geven<br/>vb:die film werd afgemaakt in de krant<br/> * het niet serieus en goed aanpakken<br/>vb:hij heeft zich wel gemakkelijk van dat werk afgemaakt</div>"
afmeting|"<div class=""article""><div class=""k"">afmeting</div>afmeting<br/> * hoe lang, breed of hoog het is<br/>vb:heb je de afmetingen van die kast opgeschreven?</div>"
